date,retail_and_recreation_percent_change_from_baseline
1/1/22,-38
2/1/22,-9
3/1/22,-8
4/1/22,-4
5/1/22,-9
6/1/22,-12
7/1/22,-15
8/1/22,-18
9/1/22,-16
10/1/22,-12
11/1/22,-14
12/1/22,-14
13/1/22,-16
14/1/22,-15
15/1/22,-14
16/1/22,-13
17/1/22,-12
18/1/22,-14
19/1/22,-12
20/1/22,-13
21/1/22,-12
22/1/22,-10
23/1/22,-10
24/1/22,-9
25/1/22,-3
26/1/22,-18
27/1/22,-13
28/1/22,-11
29/1/22,-8
30/1/22,-8
31/1/22,-9
1/2/22,-12
2/2/22,-12
3/2/22,-12
4/2/22,-8
5/2/22,-4
6/2/22,-5
7/2/22,-10
